1,178957,2015,2,"moderado"
1,178957,2015,3,"moderado"
1,178957,2015,4,"moderado"
1,178957,2015,5,"moderado"
1,178957,2015,6,"moderado"
1,178957,2015,7,"moderado"
1,178957,2015,8,"moderado"
1,178957,2015,9,"camarote"
1,178957,2015,10,"camarote"
1,178957,2015,11,"camarote"
1,178957,2015,12,"camarote"
1,178957,2016,1,"moderado"
1,178957,2016,2,"moderado"
1,178957,2016,3,"camarote"
1,178957,2016,4,"moderado"
1,178957,2016,5,"camarote"
1,178957,2016,6,"moderado"
1,178957,2016,7,"moderado"
1,178957,2016,8,"moderado"
1,178957,2016,9,"moderado"
1,178957,2016,10,"camarote"
1,178957,2016,11,"camarote"
1,178957,2016,12,"moderado"
1,178957,2017,1,"moderado"
1,178957,2017,2,"camarote"
1,178957,2017,3,"moderado"
1,178957,2017,4,"camarote"
1,178957,2017,5,"moderado"
1,178957,2017,6,"moderado"
1,178957,2017,7,"camarote"
1,178957,2017,8,"moderado"
1,178957,2017,9,"moderado"
1,178957,2017,10,"moderado"
1,178957,2017,11,"moderado"
1,178864,2015,2,"moderado"
1,178864,2015,3,"camarote"
1,178864,2015,4,"camarote"
1,178864,2015,5,"moderado"
1,178864,2015,6,"camarote"
1,178864,2015,7,"camarote"
1,178864,2015,8,"camarote"
1,178864,2015,9,"moderado"
1,178864,2015,10,"moderado"
1,178864,2015,11,"moderado"
1,178864,2016,4,"moderado"
1,178864,2016,5,"camarote"
1,178864,2016,6,"camarote"
1,178864,2016,7,"moderado"
1,178864,2016,8,"moderado"
1,178864,2016,9,"moderado"
1,178864,2016,10,"camarote"
1,178864,2016,11,"camarote"
1,178864,2016,12,"moderado"
1,178864,2017,1,"moderado"
1,178864,2017,2,"moderado"
1,178864,2017,3,"moderado"
1,178864,2017,4,"camarote"
1,178864,2017,5,"camarote"
1,178864,2017,6,"camarote"
1,178864,2017,7,"camarote"
1,178864,2017,8,"moderado"
1,178864,2017,9,"moderado"
1,178864,2017,10,"moderado"
1,178864,2017,11,"moderado"
1,178914,2015,2,"moderado"
1,178914,2015,3,"moderado"
1,178914,2015,4,"moderado"
1,178914,2015,5,"camarote"
