"mesv","anov","id_dep","total_deputado"
9,2015,73437,10
10,2015,73437,6
11,2015,73437,5
12,2015,73437,2
2,2016,73437,2
3,2016,73437,7
4,2016,73437,4
5,2016,73437,3
6,2016,73437,4
7,2016,73437,3
8,2016,73437,4
10,2016,73437,4
11,2016,73437,6
12,2016,73437,4
2,2017,73437,4
3,2017,73437,2
2,2015,73441,4
3,2015,73441,7
4,2015,73441,8
5,2015,73441,11
6,2015,73441,7
7,2015,73441,4
8,2015,73441,9
9,2015,73441,11
10,2015,73441,7
11,2015,73441,5
12,2015,73441,1
2,2016,73441,5
3,2016,73441,4
4,2016,73441,3
5,2016,73441,5
6,2016,73441,5
7,2016,73441,3
8,2016,73441,3
10,2016,73441,7
11,2016,73441,6
12,2016,73441,5
2,2017,73441,4
3,2017,73441,3
10,2015,73447,10
11,2015,73447,7
12,2015,73447,2
2,2016,73447,6
3,2016,73447,9
4,2016,73447,4
5,2016,73447,5
6,2016,73447,7
7,2016,73447,3
8,2016,73447,5
10,2016,73447,6
11,2016,73447,6
12,2016,73447,5
2,2015,73458,1
3,2015,73458,5
4,2015,73458,7
5,2015,73458,11
6,2015,73458,7
7,2015,73458,4
8,2015,73458,6
9,2015,73458,8
10,2015,73458,8
11,2015,73458,3
12,2015,73458,1
2,2016,73458,4
3,2016,73458,5
4,2016,73458,1
5,2016,73458,3
6,2016,73458,3
7,2016,73458,2
8,2016,73458,5
10,2016,73458,4
11,2016,73458,5
12,2016,73458,2
2,2017,73458,4
3,2017,73458,3
2,2015,73463,4
3,2015,73463,11
4,2015,73463,10
5,2015,73463,5
6,2015,73463,5
7,2015,73463,4
8,2015,73463,10
9,2015,73463,12
10,2015,73463,9
11,2015,73463,7
12,2015,73463,2
2,2016,73463,6
3,2016,73463,6
4,2016,73463,4
5,2016,73463,5
6,2016,73463,6
7,2016,73463,3
8,2016,73463,4
10,2016,73463,6
11,2016,73463,4
12,2016,73463,6
2,2017,73463,4
2,2015,73466,4
3,2015,73466,10
4,2015,73466,10
5,2015,73466,11
6,2015,73466,7
7,2015,73466,4
8,2015,73466,10
9,2015,73466,11
10,2015,73466,9
11,2015,73466,7
12,2015,73466,2
2,2016,73466,6
3,2016,73466,10
4,2016,73466,4
5,2016,73466,4
6,2016,73466,6
7,2016,73466,3
8,2016,73466,5
10,2016,73466,7
11,2016,73466,4
12,2016,73466,6
2,2017,73466,4
3,2017,73466,2
2,2015,73481,5
3,2015,73481,11
4,2015,73481,9
5,2015,73481,11
6,2015,73481,7
7,2015,73481,4
8,2015,73481,10
9,2015,73481,13
2,2015,73482,4
3,2015,73482,11
4,2015,73482,7
5,2015,73482,11
6,2015,73482,7
7,2015,73482,4
8,2015,73482,10
9,2015,73482,13
10,2015,73482,8
11,2015,73482,7
12,2015,73482,2
2,2016,73482,6
3,2016,73482,10
4,2016,73482,4
5,2016,73482,3
6,2016,73482,5
7,2016,73482,3
8,2016,73482,5
10,2016,73482,5
11,2016,73482,5
12,2016,73482,4
2,2017,73482,4
3,2017,73482,3
2,2015,73483,6
3,2015,73483,10
4,2015,73483,10
5,2015,73483,11
6,2015,73483,7
7,2015,73483,4
8,2015,73483,9
9,2015,73483,13
10,2015,73483,10
11,2015,73483,7
12,2015,73483,1
2,2016,73483,4
3,2016,73483,10
4,2016,73483,4
5,2016,73483,5
6,2016,73483,7
7,2016,73483,3
8,2016,73483,5
10,2016,73483,6
11,2016,73483,6
12,2016,73483,6
2,2017,73483,4
3,2017,73483,3
2,2015,73486,6
3,2015,73486,12
4,2015,73486,7
5,2015,73486,11
6,2015,73486,4
7,2015,73486,4
8,2015,73486,9
9,2015,73486,10
10,2015,73486,6
11,2015,73486,6
12,2015,73486,2
2,2016,73486,6
3,2016,73486,7
4,2016,73486,3
5,2016,73486,4
6,2016,73486,5
7,2016,73486,3
8,2016,73486,4
10,2016,73486,3
11,2016,73486,5
12,2016,73486,5
2,2017,73486,4
3,2017,73486,2
2,2015,73531,5
3,2015,73531,12
4,2015,73531,10
5,2015,73531,10
6,2015,73531,7
7,2015,73531,4
8,2015,73531,10
9,2015,73531,13
10,2015,73531,10
11,2015,73531,7
12,2015,73531,2
2,2016,73531,6
3,2016,73531,11
4,2016,73531,4
5,2016,73531,5
6,2016,73531,7
7,2016,73531,3
8,2016,73531,5
10,2016,73531,7
11,2016,73531,6
12,2016,73531,6
2,2017,73531,4
3,2017,73531,3
2,2015,73535,5
3,2015,73535,9
4,2015,73535,9
5,2015,73535,9
6,2015,73535,6
7,2015,73535,4
8,2015,73535,10
9,2015,73535,11
10,2015,73535,8
11,2015,73535,4
12,2015,73535,1
2,2016,73535,4
3,2016,73535,11
4,2016,73535,4
5,2016,73535,2
6,2016,73535,7
7,2016,73535,3
8,2016,73535,5
10,2016,73535,5
11,2016,73535,6
12,2016,73535,5
2,2017,73535,4
3,2017,73535,3
2,2015,73553,3
3,2015,73553,12
4,2015,73553,10
5,2015,73553,9
6,2015,73553,7
7,2015,73553,2
8,2015,73553,6
9,2015,73553,10
10,2015,73553,8
11,2015,73553,7
12,2015,73553,2
2,2016,73553,5
3,2016,73553,10
4,2016,73553,3
5,2016,73553,5
6,2016,73553,7
7,2016,73553,2
8,2016,73553,4
10,2016,73553,7
11,2016,73553,4
12,2016,73553,4
2,2017,73553,4
3,2017,73553,3
2,2015,73560,5
3,2015,73560,11
4,2015,73560,10
5,2015,73560,11
6,2015,73560,7
7,2015,73560,3
8,2015,73560,9
9,2015,73560,14
10,2015,73560,8
11,2015,73560,6
12,2015,73560,2
2,2016,73560,6
3,2016,73560,10
4,2016,73560,4
5,2016,73560,4
6,2016,73560,7
7,2016,73560,3
8,2016,73560,5
10,2016,73560,5
11,2016,73560,6
12,2016,73560,5
2,2017,73560,4
3,2017,73560,2
2,2015,73568,2
3,2015,73568,9
4,2015,73568,10
5,2015,73568,11
6,2015,73568,6
7,2015,73568,4
8,2015,73568,10
9,2015,73568,13
10,2015,73568,9
11,2015,73568,6
12,2015,73568,1
2,2016,73568,6
3,2016,73568,11
4,2016,73568,4
5,2016,73568,3
6,2016,73568,7
7,2016,73568,3
8,2016,73568,5
10,2016,73568,7
11,2016,73568,6
12,2016,73568,6
2,2017,73568,3
3,2017,73568,3
2,2015,73579,7
3,2015,73579,12
4,2015,73579,9
5,2015,73579,11
6,2015,73579,7
7,2015,73579,4
8,2015,73579,10
9,2015,73579,14
10,2015,73579,10
11,2015,73579,7
12,2015,73579,2
2,2016,73579,5
3,2016,73579,11
4,2016,73579,4
5,2016,73579,4
6,2016,73579,7
