congressperson_name,civil_name,congressperson_id,state,twitter_profile,secondary_twitter_profile,facebook_page
VAZ DE LIMA,,160595,SP,depvazdelima,,https://www.facebook.com/depvazdelima
VICENTE CANDIDO,VICENTE CÂNDIDO DA SILVA,160622,SP,vicente_candido,,https://www.facebook.com/deputadovicentecandido
VICENTINHO,VICENTE PAULO DA SILVA,74283,SP,VICENTINHOPT,,https://www.facebook.com/DeputadoFederalVicentinho
VINICIUS CARVALHO,VINICIUS RAPOZO DE CARVALHO,141555,SP,falecomvinicius,,https://www.facebook.com/viniciuscarvalhooficial
VITOR LIPPI,VITOR LIPPI,178992,SP,DepVitorLippi,vitorlippi4510,https://www.facebook.com/vitorlippi
WALTER IHOSHI,WALTER SHINDI IIHOSHI,141560,SP,walterihoshi,,https://www.facebook.com/walterihoshi
WILLIAM DIB,,160586,SP,drdib,,https://www.facebook.com/dib.deputado
CARLOS HENRIQUE GAGUIM,CARLOS HENRIQUE AMORIM,178993,TO,carlos_gaguim,,https://www.facebook.com/carlos.gaguim
CÉSAR HALUM,CESAR HANNA HALUM,160576,TO,cesarhalum,,https://www.facebook.com/cesarhalum/
DULCE MIRANDA,DULCE FERREIRA PAGANI MIRANDA,178994,TO,dulcemiranda_to,,https://www.facebook.com/dulcepaganimiranda
EDUARDO GOMES,,73945,TO,eduardogomesto,,https://www.facebook.com/pauloeduardogomes.psol
IRAJÁ ABREU,IRAJÁ SILVESTRE FILHO,81232,TO,irajaabreu,,https://www.facebook.com/irajaabreu
JOSI NUNES,JOSINIANE BRAGA NUNES,114941,TO,josinunesto,,https://www.facebook.com/josinunesto
LAUREZ MOREIRA,,141479,TO,laurezmoreira,,https://www.facebook.com/laurezmoreira
LÁZARO BOTELHO,LÁZARO BOTELHO MARTINS,141480,TO,LazaroBotelho,,https://www.facebook.com/dep.lazaro
PROFESSORA DORINHA SEABRA REZENDE,MARIA AUXILIADORA SEABRA REZENDE,160639,TO,profdorinha,,https://www.facebook.com/profile.php?id=100002237710131
VICENTINHO JÚNIOR,VICENTE ALVES DE OLIVEIRA JUNIOR,137070,TO,vicentinhojr,,https://www.facebook.com/VicentinhoJr
SHERIDÁ OLIVEIRA,SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,,RR,depsheridan,,https://www.facebook.com/deputadasheridan/
