congressperson_name,civil_name,congressperson_id,state,twitter_profile,secondary_twitter_profile,facebook_page
PAULO HENRIQUE LUSTOSA,PAULO HENRIQUE ELLERY LUSTOSA DA COSTA,141517,CE,paulohelustosa,,https://www.facebook.com/deputadophlustosa/
RAIMUNDO GOMES DE MATOS,RAIMUNDO GOMES DE MATOS,74216,CE,raimundo_matos,,https://www.facebook.com/dr.raimundomatos?ref=br_rs
RAIMUNDÃO,,160516,CE,raimundomacedo,raimundo_macedo,https://www.facebook.com/Raimundao/
RONALDO MARTINS,RONALDO MANCHADO MARTINS,122466,CE,ronaldoprb10,,https://www.facebook.com/ronaldo10oficial/?ref=br_rs
VAIDON OLIVEIRA,FRANCISCO VAIDON OLIVEIRA,195866,CE,NAO ENCONTRADO,,https://www.facebook.com/deputadofederalvaidon.oliveira/?ref=br_rs
VITOR VALIM,VITOR PEREIRA VALIM,178869,CE,vitorvalim,,https://www.facebook.com/vitorvalimfanpage/?ref=br_rs
ALBERTO FRAGA,JOÃO ALBERTO FRAGA SILVA,73579,DF,alberto_fraga,,https://www.facebook.com/albertofraga.oficial/
AUGUSTO CARVALHO,AUGUSTO SILVEIRA DE CARVALHO,73655,DF,augustodeputado,,https://www.facebook.com/Dep.AugustoCarvalho/
ERIKA KOKAY,ÉRIKA JUCÁ KOKAY,160575,DF,erikakokay,,https://www.facebook.com/ErikaKokay
IZALCI LUCAS,IZALCI LUCAS FERREIRA,4931,DF,IzalciLucas,,https://www.facebook.com/izalci
JAQUELINE RORIZ,,97822,DF,roriz_jaqueline,,https://www.facebook.com/deputadajaquelineroriz
LAERTE BESSA,LAERTE RODRIGUES DE BESSA,141478,DF,laerte_bessa,,https://www.facebook.com/laertebessaoficial
LUIZ PITIMAN,,160550,DF,luizpitiman,,https://www.facebook.com/LuizPitimanOficial
POLICARPO,,162174,DF,policarpo_ptdf,,https://www.facebook.com/policarpo.pt
RICARDO QUIRINO,,150634,DF,depquirino,,https://www.facebook.com/RicardoQuirinoOficial/
ROGÉRIO ROSSO,ROGÉRIO SCHUMANN ROSSO,160426,DF,,,https://www.facebook.com/RogerioRossoOficial
RONALDO FONSECA,RONALDO FONSECA DE SOUZA,160637,DF,DepRonaldo,,https://www.facebook.com/ronaldofonsecaoficial
RÔNEY NEMER,RÔNEY TANIOS NEMER,178870,DF,roneynemer,,https://www.facebook.com/roneynemerdf
CAMILO COLA,,141395,ES,camilocola1544,,NÃO ENCONTRADO
CARLOS MANATO,CARLOS HUMBERTO MANNATO,74163,ES,,,https://www.facebook.com/deputado.manato/
CESAR COLNAGO,,160664,ES,cesarcolnago,,https://www.facebook.com/ColnagoCesar/?ref=br_rs
DR. JORGE SILVA,JORGE SILVA,160643,ES,DrJorge1211,,https://www.facebook.com/DrJorgeSilva/
EVAIR VIEIRA DE MELO,EVAIR VIEIRA DE MELO,178871,ES,,,https://www.facebook.com/evair.vieirademelo/
GIVALDO VIEIRA,GIVALDO VIEIRA DA SILVA,178872,ES,,,https://www.facebook.com/GivaldoVieiraES/
HELDER SALOMÃO,HELDER IGNACIO SALOMAO,178873,ES,,,https://www.facebook.com/helder.salomao.313/
LAURIETE,,160534,ES,2010lauriete,,https://www.facebook.com/DeputadaFederalLauriete/
LELO COIMBRA,WELINGTON COIMBRA,141562,ES,,,https://www.facebook.com/falecomlelo/?ref=br_rs
MARCUS VICENTE,MARCUS ANTÔNIO VICENTE,74235,ES,,,https://www.facebook.com/dep.marcusvicente/
NORMA AYUB,NORMA AYUB ALVES,66179,ES,,,https://www.facebook.com/DeputadaNormaAyubAlves/
PAULO FOLETTO,PAULO ROBERTO FOLETTO,160517,ES,DeputadoFoletto,,https://www.facebook.com/PauloFoletto/
ROSE DE FREITAS,,73507,ES,DepRosedFreitas,,https://www.facebook.com/senadorarosedefreitas/
SERGIO VIDIGAL,ANTONIO SERGIO ALVES VIDIGAL,178874,ES,,,https://www.facebook.com/vidigalsergio/
SUELI VIDIGAL,,141548,ES,suelividigal_es,,https://www.facebook.com/suelividigalII/
ALEXANDRE BALDY,ALEXANDRE BALDY DE SANT'ANNA BRAGA,178875,GO,alexandrebaldy,,https://www.facebook.com/alexandrebaldyoficial/
ARMANDO VERGÍLIO,,160546,GO,armandovergilio,,https://www.facebook.com/armandovergilio/
CÉLIO SILVEIRA,CELIO ANTONIO DA SILVEIRA,178876,GO,,,https://www.facebook.com/CelioSilveiraOficial
DANIEL VILELA,DANIEL ELIAS CARVALHO VILELA,144523,GO,,,https://www.facebook.com/danielvilelaoficial/
DELEGADO WALDIR,WALDIR SOARES DE OLIVEIRA,164359,GO,,,https://www.facebook.com/delegado.waldir/
FLÁVIA MORAIS,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,160598,GO,depflaviamorais,,https://www.facebook.com/flavia.morais.714049/
FÁBIO SOUSA,FABIO FERNANDES DE SOUSA,178877,GO,,,https://www.facebook.com/FabioSousaOficial/
GIUSEPPE VECCI,GIUSEPPE VECCI,178878,GO,,,https://www.facebook.com/profile.php?id=100012342495041
HEULER CRUVINEL,HEULER ABREU CRUVINEL,160596,GO,heulercruvinel,,https://www.facebook.com/heulercruvineloficial/
JORGE PINHEIRO,,73569,GO,jorgepinheiro10,,https://www.facebook.com/bpjorgeoficial/
JOVAIR ARANTES,JOVAIR DE OLIVEIRA ARANTES,73666,GO,,,https://www.facebook.com/jovairarantes1414/
JOÃO CAMPOS,JOÃO CAMPOS DE ARAÚJO,74366,GO,depjoaocampos,,https://www.facebook.com/deputadojoaocampos/
LEANDRO VILELA,,74367,GO,leandrovilela15,,NÃO ENCONTRADO
LUCAS VERGILIO,LUCAS DE CASTRO SANTOS,178879,GO,,,https://www.facebook.com/lucasvergilio7777/
MAGDA MOFATTO,MAGDA MOFATTO HON,166402,GO,Magdamofatto,,https://www.facebook.com/MagdaMofatto.Goias/?hc_ref=SEARCH
MARCOS ABRÃO,MARCOS ABRAO RORIZ SOARES DE CARVALHO,178880,GO,,,https://www.facebook.com/MarcosAbrao/
MARINA SANTANNA,,164361,GO,marinasantanna,deputadamarina,https://www.facebook.com/marinasantanna.face/
PEDRO CHAVES,PEDRO PINHEIRO CHAVES,74812,GO,,,https://www.facebook.com/pedrochaves15/
ROBERTO BALESTRA,ROBERTO EGÍDIO BALESTRA,73674,GO,robertobalestra,,https://www.facebook.com/robertobalestraequipe/
RONALDO CAIADO,,74813,GO,deputadocaiado,,https://www.facebook.com/ronaldocaiado25/
RUBENS OTONI,RUBENS OTONI GOMIDE,74371,GO,,,https://www.facebook.com/rubensotoni/
SANDES JÚNIOR,,74372,GO,sandes_junior,,https://www.facebook.com/sandesjunior/
SANDRO MABEL,,73676,GO,sandromabel,,https://www.facebook.com/sandromabel15/
THIAGO PEIXOTO,THIAGO MELLO PEIXOTO DA SILVEIRA,160617,GO,thiagopeixoto,,https://www.facebook.com/ThiagoPeixotoGo/
VALDIVINO DE OLIVEIRA,,162490,GO,valdivino_de_o,,https://www.facebook.com/valdivinodeoliveira/
VILMAR ROCHA,,73677,GO,vilmar_rocha,,https://www.facebook.com/vilmarrocha55/?ref=br_rs
ÍRIS DE ARAÚJO,,141453,GO,gab_donairis,,https://www.facebook.com/DepIrisAraujo/
ALBERTO FILHO,JOSÉ ALBERTO OLIVEIRA VELOSO FILHO,160582,MA,DepAlbertofilho,,https://www.facebook.com/j.albertofilho/
ALUISIO MENDES,ALUISIO GUIMARAES MENDES FILHO,178881,MA,,,https://www.facebook.com/AluisioMendesOficial/
ANDRÉ FUFUCA,ANDRE LUIZ CARVALHO RIBEIRO,178882,MA,,,https://www.facebook.com/andrefufuca/
CARLOS BRANDÃO,,141402,MA,Carlos_Brandao,,https://www.facebook.com/carlosbrandaoma/
CLEBER VERDE,CLEBER VERDE CORDEIRO MENDES,141408,MA,,,https://www.facebook.com/cleberverde.1010
COSTA FERREIRA,,74016,MA,costaf2010,,https://www.facebook.com/costa.ferreira.50
DAVI ALVES SILVA JÚNIOR,,141412,MA,depdavialves,,https://www.facebook.com/davialvessilvajunior/
ELIZIANE GAMA,ELIZIANE PEREIRA GAMA FERREIRA,178883,MA,,,https://www.facebook.com/elizianegama/
FRANCISCO ESCÓRCIO,,137983,MA,ChiquinEscorcio,,https://www.facebook.com/chiquinhoescorcio1
HILDO ROCHA,HILDO AUGUSTO DA ROCHA NETO,178884,MA,,,https://www.facebook.com/hildorocha1/
HÉLIO SANTOS,,160590,MA,heliosantos4545,,NÃO ENCONTRADO
JOSÉ REINALDO,José Reinaldo Carneiro Tavares,73714,MA,,,https://www.facebook.com/zereinaldot/
JOÃO MARCELO SOUZA,JOÃO MARCELO SANTOS SOUZA,112437,MA,,,https://www.facebook.com/deputadojoaomarcelo/
JULIÃO AMIN,JULIÃO AMIN CASTRO,141474,MA,,,https://www.facebook.com/juliaoamin
JUNIOR MARRECA,ANTONIO DA CRUZ FILGUEIRA JUNIOR,178885,MA,juniormarreca,,https://www.facebook.com/juniormarrecaoficial
JUSCELINO FILHO,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,178886,MA,,,https://www.facebook.com/DepJuscelinoFilho/
LUANA COSTA,LUANA MARIA DA SILVA COSTA,81366,MA,,,https://www.facebook.com/depLuanaCosta/
PEDRO FERNANDES,PEDRO FERNANDES RIBEIRO,74449,MA,,,https://www.facebook.com/DeputadoFederalPedroFernandes/
PINTO ITAMARATY,,141465,MA,pintoitamaraty,,https://www.facebook.com/PintoItamaraty/
PROFESSOR SETIMO,,141543,MA,profsetimo,,https://www.facebook.com/professorsetimowaquim
RIBAMAR ALVES,,74027,MA,RibamarAlvesPSB,,https://www.facebook.com/people/Ribamar-Alves/1750119485
RUBENS PEREIRA JÚNIOR,RUBENS PEREIRA E SILVA JUNIOR,178887,MA,rubenspereirajr,,https://www.facebook.com/Deprubenspereirajr
SARNEY FILHO,,74210,MA,sarneyfilho,,https://www.facebook.com/sarneyfilho/
VICTOR MENDES,CARLOS VICTOR GUTERRES MENDES,178888,MA,NAO ENCONTRADO,,https://www.facebook.com/victormendesma/
WALDIR MARANHÃO,WALDIR MARANHÃO CARDOSO,141558,MA,WaldirMaranhao,,https://www.facebook.com/fapagewaldirmaranhao/
WEVERTON ROCHA,WEVERTON ROCHA MARQUES DE SOUSA,167493,MA,wevertonrocha,,https://www.facebook.com/wevertonrocha12/
ZÉ CARLOS,JOSÉ CARLOS NUNES JÚNIOR,178889,MA,Dep_ZeCarlosPT,,https://www.facebook.com/DepZeCarlosPT
ADELMO CARNEIRO LEÃO,ADELMO CARNEIRO LEAO,178890,MG,deputadoadelmo,,https://www.facebook.com/deputadoadelmo/
ADEMIR CAMILO,ADEMIR CAMILO PRATES RODRIGUES,133374,MG,depademircamilo,,https://www.facebook.com/DeputadoAdemirCamilo
AELTON FREITAS,AELTON JOSÉ DE FREITAS,141372,MG,aeltonfreitasmg,,https://www.facebook.com/AeltonFreitasMG
ANTÔNIO ANDRADE,,141387,MG,AntonioAndraDep,,https://www.facebook.com/antonioandrade.pmdb/
ANTÔNIO ROBERTO,,141390,MG,antonioroberto_,,https://www.facebook.com/dep.antonioroberto (pgquebrada)
BERNARDO SANTANA DE VASCONCELLOS,,109152,MG,SantanaBernardo,,www.facebook.com/SecretarioBernardoSantana (pgquebrada)
BILAC PINTO,OLAVO BILAC PINTO NETO,141513,MG,bilac_pinto,bilacpinto2010,https://www.facebook.com/bilac.pinto.5
BONIFÁCIO DE ANDRADA,BONIFÁCIO JOSÉ TAMM DE ANDRADA,74650,MG,BAndrada,,https://www.facebook.com/Dep.BonifacioAndrada/
BRUNNY,BRUNIELE FERREIRA GOMES,178999,MG,deputadabrunny,,https://www.facebook.com/deputadabrunny/
CAIO NARCIO,CAIO NARCIO RODRIGUES DA SILVEIRA,178891,MG,caionarcio,,https://www.facebook.com/caionarcio/
CARLAILE PEDROSA,,160585,MG,CARLAILEPSDB,,NÃO ENCONTRADO
CARLOS MELLES,CARLOS DO CARMO ANDRADE MELLES,74651,MG,CarlosMelles,,https://www.facebook.com/DeputadoCarlosMelles
DELEGADO EDSON MOREIRA,EDSON MOREIRA DA SILVA,178893,MG,DelegadoMoreira,,https://www.facebook.com/DelegadoEdsonMoreiraPolitico
DIEGO ANDRADE,DIEGO LEONARDO DE ANDRADE CARVALHO,160588,MG,,,https://www.facebook.com/diegoandrademg/
DIMAS FABIANO,DIMAS FABIANO TOLEDO JÚNIOR,160599,MG,depdimasfabiano,,https://www.facebook.com/depdimasfabiano.toledo
DOMINGOS SÁVIO,DOMINGOS SÁVIO CAMPOS RESENDE,160758,MG,DomingosSavioMG,,https://www.facebook.com/domingossaviomg/
DÂMINA PEREIRA,DAMINA DE CARVALHO PEREIRA,178892,MG,,,https://www.facebook.com/deputadafederaldaminapereira/
EDUARDO BARBOSA,EDUARDO LUIZ BARROS BARBOSA,74655,MG,eduardobarbosa_,,https://www.facebook.com/deputadofederaleduardobarbosa/
EROS BIONDINI,EROS FERREIRA BIONDINI,160640,MG,erosbiondini,,https://www.facebook.com/erosbiondini/
FRANKLIN LIMA,FRANKLIN ROBERTO DE LIMA SOUZA,186775,MG,dep_franklin,,https://www.facebook.com/prfranklin/
FÁBIO RAMALHO,FÁBIO AUGUSTO RAMALHO DOS SANTOS,141427,MG,_FabinhoRamalho,,https://www.facebook.com/deputadofabioramalho4311
GABRIEL GUIMARÃES,GABRIEL GUIMARÃES DE ANDRADE,129037,MG,,,https://www.facebook.com/mandatogabrielguimaraes/
GEORGE HILTON,GEORGE HILTON DOS SANTOS CECÍLIO,141441,MG,georgehilton40,,https://www.facebook.com/GeorgeHilton.MG/
GERALDO THADEU,,74151,MG,GeraldoThadeu23,,https://www.facebook.com/geraldothadeu
GILMAR MACHADO,,74581,MG,DeputadoGilmar,,https://www.facebook.com/PrefeitoGilmarMachado/
JAIME MARTINS,JAIME MARTINS FILHO,74665,MG,JaiminhoMartins,jaiminhonarede,https://www.facebook.com/jaiminho.martins/
JOSÉ HUMBERTO,,160396,MG,DepJoseHumberto,,https://www.facebook.com/deputadofederaljosehumberto/
JOÃO BITTAR,,141457,MG,depjoaobittar,,https://www.facebook.com/bittarjoao/ (pagquebrada)
JÔ MORAES,MARIA DO SOCORRO JÔ MORAES,141503,MG,jomoraes,,https://www.facebook.com/deputadajomoraes/
JÚLIO DELGADO,JÚLIO CÉSAR DELGADO,73586,MG,depjuliodelgado,,https://www.facebook.com/DeputadoJulioDelgado/
LAUDIVIO CARVALHO,LAUDIVIO ALVARENGA CARVALHO,178894,MG,laudivioc,laudivio,https://www.facebook.com/Laudiviocarvalho/
LEONARDO MONTEIRO,JOSÉ LEONARDO COSTA MONTEIRO,74156,MG,depleomonteiro,,https://www.facebook.com/depleomonteiro
LEONARDO QUINTÃO,LEONARDO LEMOS BARROS QUINTÃO,141482,MG,leonardoquintao,,https://www.facebook.com/deputadoleonardoquintao
LINCOLN PORTELA,LINCOLN DINIZ PORTELA,74585,MG,lincoln_portela,,https://www.facebook.com/deputadolincolnportela/
LUIS TIBÉ,LUIS HENRIQUE DE OLIVEIRA RESENDE,160510,MG,LuisTibeOficial,,https://www.facebook.com/luistibe
LUIZ FERNANDO FARIA,LUIZ FERNANDO RAMOS FARIA,141487,MG,depluizfernando,,https://www.facebook.com/deputadoluizfernando/
MARCELO ARO,MARCELO GUILHERME DE ARO FERREIRA,146788,MG,marceloaro,,https://www.facebook.com/marceloaro/
MARCELO ÁLVARO ANTÔNIO,MARCELO HENRIQUE TEIXEIRA DIAS,179000,MG,Marceloalvaroan,,https://www.facebook.com/marceloalvaroantonio/
MARCOS MONTES,MARCOS MONTES CORDEIRO,141500,MG,DepMarcosMontes,,https://www.facebook.com/deputadomarcosmontes/
MARCUS PESTANA,MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,159238,MG,marcus_pestana,,https://www.facebook.com/depmarcuspestana/
MARGARIDA SALOMÃO,MARIA MARGARIDA MARTINS SALOMÃO,171619,MG,JFMargarida,,https://www.facebook.com/jfmargarida/
MAURO LOPES,MAURO RIBEIRO LOPES,74749,MG,depmaurolopes,,https://www.facebook.com/familiamaurolopes/?ref=br_rs
MISAEL VARELLA,MISAEL ARTUR FERREIRA VARELLA,178895,MG,,,https://www.facebook.com/deputadomisaelvarella/
MÁRIO HERINGER,MÁRIO LÚCIO HERINGER,74158,MG,mario_heringer,,https://www.facebook.com/mario.heringer?ref=br_rs
NEWTON CARDOSO,,74750,MG,newtoncardoso_,,https://www.facebook.com/Newton-Cardoso-245606048835359/?ref=br_rs
NEWTON CARDOSO JR,NEWTON CARDOSO JUNIOR,178896,MG,newton1510,,https://www.facebook.com/NewtonCardosoJr/?ref=br_rs
PADRE JOÃO,JOÃO CARLOS SIQUEIRA,160556,MG,dep_padrejoao,,https://www.facebook.com/padrejoao/
PATRUS ANANIAS,PATRUS ANANIAS DE SOUSA,74160,MG,Patrus_Ananias,VotePatrus13‏ ‏,https://www.facebook.com/patrusananias13/
PAULO ABI-ACKEL,PAULO ABI-ACKEL,141516,MG,pauloabiackel,,https://www.facebook.com/abiackelpaulo/
PAULO PIAU,,141519,MG,dep_paulopiau,,https://www.facebook.com/prefeitopaulopiau15/
RAQUEL MUNIZ,TANIA RAQUEL DE QUEIROZ MUNIZ,178998,MG,raquel_muniz,,https://www.facebook.com/raquelmuniz/
REGINALDO LOPES,REGINALDO LÁZARO DE OLIVEIRA LOPES,74161,MG,Reginaldolopes,,https://www.facebook.com/ReginaldoLopesOficial/
RENATO ANDRADE,RENATO BARBOSA DE ANDRADE,171620,MG,renatoandrademg,,https://www.facebook.com/renatoandrademg
RENZO BRAZ,RENZO DO AMARAL BRAZ,160654,MG,deputadorenzo,,https://www.facebook.com/deputadorenzobraz
RODRIGO DE CASTRO,RODRIGO BATISTA DE CASTRO,141531,MG,RodrigoCastro45,,https://www.facebook.com/rodrigodecastro45/
RODRIGO PACHECO,RODRIGO OTAVIO SOARES PACHECO,178897,MG,rodrigo15bh,,https://www.facebook.com/rodrigo.pacheco.5264
SARAIVA FELIPE,JOSÉ SARAIVA FELIPE,74762,MG,JSaraivaFelipe,,https://www.facebook.com/saraivafelipe
STEFANO AGUIAR,STEFANO AGUIAR DOS SANTOS,92776,MG,depstefano,,https://www.facebook.com/PastorStefanoAguiar/
SUBTENENTE GONZAGA,LUIZ GONZAGA RIBEIRO,177282,MG,SubGonzagaMG,,https://www.facebook.com/Deputado-Subtenente-Gonzaga-446410602056683/
TENENTE LÚCIO,SERGIO LUCIO DE ALMEIDA,178898,MG,deptenentelucio,,https://www.facebook.com/tenentelucio/
TONINHO PINHEIRO,ANTÔNIO PINHEIRO JÚNIOR,160611,MG,pinheirotoninho,,https://www.facebook.com/ToninhoPinheiroOficial/
VITOR PENIDO,,141557,MG,vitorpenidomg,,https://www.facebook.com/VitorpenidoNL/
WALTER TOSTA,,160609,MG,waltertostamg,,https://www.facebook.com/waltertosta/
WELITON PRADO,WELITON FERNANDES PRADO,160518,MG,pradoweliton,,https://www.facebook.com/WelitonPrado
ZÉ SILVA,JOSÉ SILVA SOARES,160632,MG,ZeSilva_,DEPZESILVA,https://www.facebook.com/deputadofederalzesilva/
BIFFI,,74373,MS,DeputadoBiffi,,https://www.facebook.com/antoniocarlos.biffi/
CARLOS MARUN,CARLOS EDUARDO XAVIER MARUN,178900,MS,deputadomarun,,https://www.facebook.com/carlos.marun/
DAGOBERTO NOGUEIRA,DAGOBERTO NOGUEIRA FILHO,141411,MS,dagobertopdt,,https://www.facebook.com/dagobertopdt/
ELIZEU DIONIZIO,ELIZEU DIONIZIO SOUZA  DA SILVA,181316,MS,elizeudionizio,,https://www.facebook.com/ElizeuDionizioMS/
GERALDO RESENDE,GERALDO RESENDE PEREIRA,74374,MS,dep_geraldo,,https://www.facebook.com/GeraldoResendeMS/
GIROTO,,160562,MS,girotofederal,,https://www.facebook.com/girotoedson/
MANDETTA,LUIZ HENRIQUE MANDETTA,160633,MS,depmandetta,,https://www.facebook.com/henriquemandetta/
MARÇAL FILHO,,74124,MS,Marcal_Oficial,,https://www.facebook.com/marcalfilhoms/
TEREZA CRISTINA,TEREZA CRISTINA CORREA DA COSTA DIAS,178901,MS,terezacrisms,,https://www.facebook.com/terezacristinams/
VANDER LOUBET,VANDER LUIZ DOS SANTOS LOUBET,74376,MS,vanderloubet,,https://www.facebook.com/vanderfazmais/
ZECA DO PT,JOSE ORCIRIO MIRANDA DOS SANTOS,178902,MS,zecadopt,,https://www.facebook.com/zecadopt13/
ADILTON SACHETTI,ADILTON DOMINGOS SACHETTI,178903,MT,adiltonsachetti,,https://www.facebook.com/AdiltonSachetti/
CARLOS BEZERRA,CARLOS GOMES BEZERRA,141401,MT,CarlosBezerraJr,,https://www.facebook.com/carlosbezerrajr1/
EZEQUIEL FONSECA,EZEQUIEL ANGELO FONSECA,178904,MT,,,https://www.facebook.com/EzequielFonsecaMT/
FABIO GARCIA,FABIO PAULINO GARCIA,178905,MT,,,https://www.facebook.com/oficialfabiogarcia/
JÚLIO CAMPOS,,160519,MT,DepJulioCampos,,https://www.facebook.com/DeputadoJulioCampos/
NERI GELLER,,146307,MT,NeriGeller,,https://www.facebook.com/neri.geller
NILSON LEITÃO,NILSON APARECIDO LEITÃO,166401,MT,Nilson_Leitao,,https://www.facebook.com/nilsonleitao/
PROFESSOR VICTÓRIO GALLI,VICTORIO GALLI FILHO,148134,MT,,,https://www.facebook.com/VictorioGalliOficial/
ROBERTO DORNER,,161903,MT,DeputadoRDorner,,https://www.facebook.com/robertodornersinop/
SÁGUAS MORAES,SÁGUAS MORAES SOUSA,160630,MT,,,https://www.facebook.com/saguasfederal/
VALTENIR PEREIRA,VALTENIR LUIZ PEREIRA,141552,MT,DepValtenir,,https://www.facebook.com/valtenirpereiraoficial/
ANDRÉ DIAS,,161905,PA,andredias4500,,https://www.facebook.com/Andr%C3%A9-Dias-Deputado-Federal-4500-161378187221311/
ARNALDO JORDY,ARNALDO JORDY FIGUEIREDO,160602,PA,arnaldojordy,,https://www.facebook.com/arnaldojordy/
BETO FARO,JOSÉ ROBERTO OLIVEIRA FARO,141335,PA,,,https://www.facebook.com/beto.faro.5/
BETO SALAME,ROBERTO SALAME FILHO,178906,PA,,,https://www.facebook.com/betosalame/
CLÁUDIO PUTY,,160557,PA,claudioputy,,https://www.facebook.com/ClaudioPuty/
DELEGADO ÉDER MAURO,EDER MAURO CARDOSO BARRA,178908,PA,,,https://www.facebook.com/edermauroficial/
DUDIMAR PAXIUBA,,161904,PA,DudimarPaxiuba,,https://www.facebook.com/depdudimarpaxiuba.azevedo
EDMILSON RODRIGUES,EDMILSON BRITO RODRIGUES,134812,PA,,,https://www.facebook.com/edmilsonpsol/
ELCIONE BARBALHO,ELCIONE THEREZINHA ZAHLUTH BARBALHO,74075,PA,elcionepmdb,,https://www.facebook.com/Dep.ElcioneBarbalho/
FRANCISCO CHAPADINHA,FRANCISCO ALVES DE AGUIAR,178907,PA,chapadinha55,,https://www.facebook.com/franciscochapadinha1/
GIOVANNI QUEIROZ,,74077,PA,deputgiovanni,,https://www.facebook.com/DeputadoGiovanniQueiroz/
HÉLIO LEITE,HELIO LEITE DA SILVA,178909,PA,,,https://www.facebook.com/HelioLeite2525
JOAQUIM PASSARINHO,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,178910,PA,joaquimpassarin,,https://www.facebook.com/joaquimpassarinhooficial/
JOSUÉ BENGTSON,JOSUÉ BENGTSON,74351,PA,josuebengtson,,https://www.facebook.com/JosueBengtson/
JOSÉ PRIANTE,JOSÉ BENITO PRIANTE JÚNIOR,74079,PA,priante,,https://www.facebook.com/AgoraePriante/
JÚLIA MARINHO,JULIA MARIA GODINHO DA CRUZ MARINHO,67312,PA,,,https://www.facebook.com/dep.juliamarinho/
LÚCIO VALE,LÚCIO DUTRA VALE,141484,PA,luciovalepa ,,https://www.facebook.com/LucioVale2222
MIRIQUINHO BATISTA,,160644,PA,miriquinho,,https://www.facebook.com/miriquinho/
NILSON PINTO,NILSON PINTO DE OLIVEIRA,74352,PA,,,https://www.facebook.com/Nilson-Pinto-354764524584734/
SIMONE MORGADO,SIMONE MARIA MORGADO FERREIRA,178911,PA,,,https://www.facebook.com/simonemorgado15/
WANDENKOLK GONÇALVES,,141561,PA,wandenkolk4545,,https://www.facebook.com/depwandenkolk/
WLADIMIR COSTA,WLADIMIR AFONSO DA COSTA RABELO,73930,PA,deputadowlad,,https://www.facebook.com/deputadofederalwlad/
ZENALDO COUTINHO,,74354,PA,zenaldocoutinho,,https://www.facebook.com/zenaldo.coutinho/
ZEQUINHA MARINHO,,73933,PA,zequinhamarinho,,https://www.facebook.com/zequinhamarinhoo/
ZÉ GERALDO,JOSÉ GERALDO TORRES DA SILVA,73931,PA,zegeraldopt,,https://www.facebook.com/zegeraldopt/
AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,160527,PB,aguinaldo1111,,https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192/
ANDRÉ AMARAL,ANDRÉ AUGUSTO CASTRO DO AMARAL FILHO,195143,PB,NÃO ENCONTRADO,,https://www.facebook.com/andreamaralpb/
BENJAMIN MARANHÃO,BENJAMIN GOMES MARANHÃO NETO,74040,PB,benjamimaranhao,,https://www.facebook.com/benjamin.maranhao/?ref=br_rs
DAMIÃO FELICIANO,DAMIÃO FELICIANO DA SILVA,74467,PB,drdamiao,,https://www.facebook.com/drdamiao/
EFRAIM FILHO,EFRAIM DE ARAÚJO MORAIS FILHO,141422,PB,efraimfilho,,https://www.facebook.com/efraimfilho/
HUGO MOTTA,HUGO MOTTA WANDERLEY DA NÓBREGA,160674,PB,hugomottapb,,https://www.facebook.com/hugomottapb/
LUIZ COUTO,LUIZ ALBUQUERQUE COUTO,74041,PB,luizcoutopt,,https://www.facebook.com/luizcoutopt
NILDA GONDIM,,160564,PB,depnildagondim,,https://www.facebook.com/deputadanildagondim
PEDRO CUNHA LIMA,PEDRO OLIVEIRA CUNHA LIMA,178912,PB,pedroocl,,https://www.facebook.com/pedrocloficial/
RUY CARNEIRO,,160635,PB,depruycarneiro,,https://www.facebook.com/depruycarneiro/
RÔMULO GOUVEIA,RÔMULO JOSÉ DE GOUVEIA,141536,PB,romulogouveia,,https://www.facebook.com/RomuloGouveiaPB/
VENEZIANO VITAL DO RÊGO,VENEZIANO VITAL DO RÊGO SEGUNDO NETO,178913,PB,venezianovital,,https://www.facebook.com/DepVenezianoVital/
WELLINGTON ROBERTO,JOSÉ WELLINGTON ROBERTO,74043,PB,wr22,,https://www.facebook.com/depwellingtonroberto/
WILSON FILHO,JOSÉ WILSON SANTIAGO FILHO,160636,PB,wilsonfilho_,,https://www.facebook.com/wilsonfilhodep/
ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI RODRIGUES,178914,PE,,,https://www.facebook.com/dep.adalberto.cavalcanti/
ANA ARRAES,,141377,PE,anaarraes4040,,https://www.facebook.com/anaarraes4040
ANDERSON FERREIRA,,160551,PE,federalanderson,,https://www.facebook.com/EuToComAnderson22/
ANDRÉ DE PAULA,ANDRÉ CARLOS ALVES DE PAULA FILHO,74471,PE,,,https://www.facebook.com/andredepaulaoficial
AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,160665,PE,,,https://www.facebook.com/augusto.coutinho/
BETINHO GOMES,HEBERTE LAMARCK GOMES DA SILVA,178915,PE,betinhogomes,,https://www.facebook.com/betinho45
BRUNO ARAÚJO,,141394,PE,BrunoAraujo4511,,https://www.facebook.com/BrunoAraujoPE
CARLOS EDUARDO CADOCA,CARLOS EDUARDO CINTRA DA COSTA PEREIRA,74474,PE,Cadoca,,https://www.facebook.com/cadocadeputado
