"idecadastro","nomeParlamentar","urlFoto"
144523,"DANIEL VILELA","http://www.camara.gov.br/internet/deputado/bandep/144523.jpg"
160528,"DANILO CABRAL","http://www.camara.gov.br/internet/deputado/bandep/160528.jpg"
62881,"DANILO FORTE","http://www.camara.gov.br/internet/deputado/bandep/62881.jpg"
160552,"DANRLEI DE DEUS HINTERHOLZ","http://www.camara.gov.br/internet/deputado/bandep/160552.jpg"
73891,"DARCÍSIO PERONDI","http://www.camara.gov.br/internet/deputado/bandep/73891.jpg"
73924,NA,NA
141412,NA,NA
101309,"DAVIDSON MAGALHÃES","http://www.camara.gov.br/internet/deputado/bandep/101309.jpg"
141413,"DÉCIO LIMA","http://www.camara.gov.br/internet/deputado/bandep/141413.jpg"
178908,"DELEGADO ÉDER MAURO","http://www.camara.gov.br/internet/deputado/bandep/178908.jpg"
178893,"DELEGADO EDSON MOREIRA","http://www.camara.gov.br/internet/deputado/bandep/178893.jpg"
160646,"DELEGADO FRANCISCHINI","http://www.camara.gov.br/internet/deputado/bandep/160646.jpg"
160606,NA,NA
164359,"DELEGADO WALDIR","http://www.camara.gov.br/internet/deputado/bandep/164359.jpg"
74172,"DELEY","http://www.camara.gov.br/internet/deputado/bandep/74172.jpg"
174854,NA,NA
185500,"DEOCLIDES MACEDO","http://www.camara.gov.br/internet/deputado/bandep/185500.jpg"
74264,NA,NA
160588,"DIEGO ANDRADE","http://www.camara.gov.br/internet/deputado/bandep/160588.jpg"
178929,"DIEGO GARCIA","http://www.camara.gov.br/internet/deputado/bandep/178929.jpg"
73768,"DILCEU SPERAFICO","http://www.camara.gov.br/internet/deputado/bandep/73768.jpg"
160599,"DIMAS FABIANO","http://www.camara.gov.br/internet/deputado/bandep/160599.jpg"
74197,NA,NA
143632,"DOMINGOS NETO","http://www.camara.gov.br/internet/deputado/bandep/143632.jpg"
160758,"DOMINGOS SÁVIO","http://www.camara.gov.br/internet/deputado/bandep/160758.jpg"
141371,NA,NA
118384,NA,NA
160514,NA,NA
178940,NA,NA
160643,"DR. JORGE SILVA","http://www.camara.gov.br/internet/deputado/bandep/160643.jpg"
74094,NA,NA
147975,NA,NA
73459,NA,NA
178830,"DR. SINVAL MALHEIROS","http://www.camara.gov.br/internet/deputado/bandep/178830.jpg"
141498,NA,NA
166727,NA,NA
141385,NA,NA
161904,NA,NA
178994,"DULCE MIRANDA","http://www.camara.gov.br/internet/deputado/bandep/178994.jpg"
73447,NA,NA
73793,NA,NA
141417,"EDIO LOPES","http://www.camara.gov.br/internet/deputado/bandep/141417.jpg"
160578,"EDMAR ARRUDA","http://www.camara.gov.br/internet/deputado/bandep/160578.jpg"
134812,"EDMILSON RODRIGUES","http://www.camara.gov.br/internet/deputado/bandep/134812.jpg"
74838,NA,NA
160618,NA,NA
141419,NA,NA
74106,NA,NA
74655,"EDUARDO BARBOSA","http://www.camara.gov.br/internet/deputado/bandep/74655.jpg"
92346,"EDUARDO BOLSONARO","http://www.camara.gov.br/internet/deputado/bandep/92346.jpg"
74173,NA,NA
178977,"EDUARDO CURY","http://www.camara.gov.br/internet/deputado/bandep/178977.jpg"
141421,"EDUARDO DA FONTE","http://www.camara.gov.br/internet/deputado/bandep/141421.jpg"
73945,NA,NA
74382,NA,NA
141422,"EFRAIM FILHO","http://www.camara.gov.br/internet/deputado/bandep/141422.jpg"
74075,"ELCIONE BARBALHO","http://www.camara.gov.br/internet/deputado/bandep/74075.jpg"
154919,NA,NA
160532,"ELI CORRÊA FILHO","http://www.camara.gov.br/internet/deputado/bandep/160532.jpg"
141423,NA,NA
73892,NA,NA
181316,"ELIZEU DIONIZIO","http://www.camara.gov.br/internet/deputado/bandep/181316.jpg"
178883,"ELIZIANE GAMA","http://www.camara.gov.br/internet/deputado/bandep/178883.jpg"
178854,"ELMAR NASCIMENTO","http://www.camara.gov.br/internet/deputado/bandep/178854.jpg"
74119,NA,NA
154997,NA,NA
73893,NA,NA
132504,"ENIO VERRI","http://www.camara.gov.br/internet/deputado/bandep/132504.jpg"
160575,"ERIKA KOKAY","http://www.camara.gov.br/internet/deputado/bandep/160575.jpg"
99654,"ERIVELTON SANTANA","http://www.camara.gov.br/internet/deputado/bandep/99654.jpg"
160640,"EROS BIONDINI","http://www.camara.gov.br/internet/deputado/bandep/160640.jpg"
160649,"ESPERIDIÃO AMIN","http://www.camara.gov.br/internet/deputado/bandep/160649.jpg"
141386,NA,NA
171621,NA,NA
178871,"EVAIR VIEIRA DE MELO","http://www.camara.gov.br/internet/deputado/bandep/178871.jpg"
178828,"EVANDRO GUSSI","http://www.camara.gov.br/internet/deputado/bandep/178828.jpg"
74345,NA,NA
178930,"EVANDRO ROMAN","http://www.camara.gov.br/internet/deputado/bandep/178930.jpg"
178953,"EXPEDITO NETTO","http://www.camara.gov.br/internet/deputado/bandep/178953.jpg"
178904,"EZEQUIEL FONSECA","http://www.camara.gov.br/internet/deputado/bandep/178904.jpg"
178941,"EZEQUIEL TEIXEIRA","http://www.camara.gov.br/internet/deputado/bandep/178941.jpg"
146829,NA,NA
141428,"FÁBIO FARIA","http://www.camara.gov.br/internet/deputado/bandep/141428.jpg"
178905,"FABIO GARCIA","http://www.camara.gov.br/internet/deputado/bandep/178905.jpg"
178969,"FÁBIO MITIDIERI","http://www.camara.gov.br/internet/deputado/bandep/178969.jpg"
141427,"FÁBIO RAMALHO","http://www.camara.gov.br/internet/deputado/bandep/141427.jpg"
171623,"FABIO REIS","http://www.camara.gov.br/internet/deputado/bandep/171623.jpg"
178877,"FÁBIO SOUSA","http://www.camara.gov.br/internet/deputado/bandep/178877.jpg"
74062,NA,NA
160587,NA,NA
190149,NA,NA
74037,NA,NA
74065,NA,NA
66828,"FAUSTO PINATO","http://www.camara.gov.br/internet/deputado/bandep/66828.jpg"
141430,"FELIPE BORNIER","http://www.camara.gov.br/internet/deputado/bandep/141430.jpg"
141429,"FELIPE MAIA","http://www.camara.gov.br/internet/deputado/bandep/141429.jpg"
160666,"FÉLIX MENDONÇA JÚNIOR","http://www.camara.gov.br/internet/deputado/bandep/160666.jpg"
141431,NA,NA
74417,NA,NA
163831,NA,NA
73481,NA,NA
92699,"FERNANDO MONTEIRO","http://www.camara.gov.br/internet/deputado/bandep/92699.jpg"
160676,NA,NA
179383,NA,NA
141433,NA,NA
160598,"FLÁVIA MORAIS","http://www.camara.gov.br/internet/deputado/bandep/160598.jpg"
141434,"FLAVIANO MELO","http://www.camara.gov.br/internet/deputado/bandep/141434.jpg"
178978,"FLAVINHO","http://www.camara.gov.br/internet/deputado/bandep/178978.jpg"
191923,NA,NA
178979,NA,NA
172029,NA,NA
178907,"FRANCISCO CHAPADINHA","http://www.camara.gov.br/internet/deputado/bandep/178907.jpg"
160677,"FRANCISCO FLORIANO","http://www.camara.gov.br/internet/deputado/bandep/160677.jpg"
141438,NA,NA
141467,NA,NA
186775,"FRANKLIN","http://www.camara.gov.br/internet/deputado/bandep/186775.jpg"
160537,NA,NA
129037,"GABRIEL GUIMARÃES","http://www.camara.gov.br/internet/deputado/bandep/129037.jpg"
74200,NA,NA
160669,"GENECIAS NORONHA","http://www.camara.gov.br/internet/deputado/bandep/160669.jpg"
141441,"GEORGE HILTON","http://www.camara.gov.br/internet/deputado/bandep/141441.jpg"
178966,"GEOVANIA DE SÁ","http://www.camara.gov.br/internet/deputado/bandep/178966.jpg"
74374,"GERALDO RESENDE","http://www.camara.gov.br/internet/deputado/bandep/74374.jpg"
74566,NA,NA
74151,NA,NA
74383,"GIACOBO","http://www.camara.gov.br/internet/deputado/bandep/74383.jpg"
179380,NA,NA
74270,"GILBERTO NASCIMENTO","http://www.camara.gov.br/internet/deputado/bandep/74270.jpg"
160673,"GIOVANI CHERINI","http://www.camara.gov.br/internet/deputado/bandep/160673.jpg"
178996,NA,NA
74077,NA,NA
160562,NA,NA
178878,"GIUSEPPE VECCI","http://www.camara.gov.br/internet/deputado/bandep/178878.jpg"
74558,"GIVALDO CARIMBÃO","http://www.camara.gov.br/internet/deputado/bandep/74558.jpg"
178872,"GIVALDO VIEIRA","http://www.camara.gov.br/internet/deputado/bandep/178872.jpg"
141446,NA,NA
152605,"GLAUBER BRAGA","http://www.camara.gov.br/internet/deputado/bandep/152605.jpg"
74419,"GONZAGA PATRIOTA","http://www.camara.gov.br/internet/deputado/bandep/74419.jpg"
129618,"GORETE PEREIRA","http://www.camara.gov.br/internet/deputado/bandep/129618.jpg"
178980,"GOULART","http://www.camara.gov.br/internet/deputado/bandep/178980.jpg"
141447,NA,NA
160667,"GUILHERME MUSSI","http://www.camara.gov.br/internet/deputado/bandep/160667.jpg"
176120,NA,NA
178964,"HEITOR SCHUCH","http://www.camara.gov.br/internet/deputado/bandep/178964.jpg"
175737,NA,NA
178873,"HELDER SALOMÃO","http://www.camara.gov.br/internet/deputado/bandep/178873.jpg"
178909,"HÉLIO LEITE","http://www.camara.gov.br/internet/deputado/bandep/178909.jpg"
160590,NA,NA
73940,NA,NA
74324,NA,NA
73482,"HENRIQUE FONTANA","http://www.camara.gov.br/internet/deputado/bandep/73482.jpg"
68731,NA,NA
97707,"HERÁCLITO FORTES","http://www.camara.gov.br/internet/deputado/bandep/97707.jpg"
178981,"HERCULANO PASSOS","http://www.camara.gov.br/internet/deputado/bandep/178981.jpg"
73772,"HERMES PARCIANELLO","http://www.camara.gov.br/internet/deputado/bandep/73772.jpg"
160596,"HEULER CRUVINEL","http://www.camara.gov.br/internet/deputado/bandep/160596.jpg"
178884,"HILDO ROCHA","http://www.camara.gov.br/internet/deputado/bandep/178884.jpg"
178959,"HIRAN GONÇALVES","http://www.camara.gov.br/internet/deputado/bandep/178959.jpg"
178849,"HISSA ABRAHÃO","http://www.camara.gov.br/internet/deputado/bandep/178849.jpg"
141450,"HUGO LEAL","http://www.camara.gov.br/internet/deputado/bandep/141450.jpg"
160674,"HUGO MOTTA","http://www.camara.gov.br/internet/deputado/bandep/160674.jpg"
160974,NA,NA
73935,NA,NA
74780,NA,NA
141389,NA,NA
74421,NA,NA
67138,"IRACEMA PORTELLA","http://www.camara.gov.br/internet/deputado/bandep/67138.jpg"
81232,"IRAJÁ ABREU","http://www.camara.gov.br/internet/deputado/bandep/81232.jpg"
74162,NA,NA
141453,NA,NA
178855,"IRMÃO LAZARO","http://www.camara.gov.br/internet/deputado/bandep/178855.jpg"
73531,"IVAN VALENTE","http://www.camara.gov.br/internet/deputado/bandep/73531.jpg"
4931,"IZALCI LUCAS","http://www.camara.gov.br/internet/deputado/bandep/4931.jpg"
74665,"JAIME MARTINS","http://www.camara.gov.br/internet/deputado/bandep/74665.jpg"
74847,"JAIR BOLSONARO","http://www.camara.gov.br/internet/deputado/bandep/74847.jpg"
3151,NA,NA
74848,"JANDIRA FEGHALI","http://www.camara.gov.br/internet/deputado/bandep/74848.jpg"
73926,"JANETE CAPIBERIBE","http://www.camara.gov.br/internet/deputado/bandep/73926.jpg"
141455,NA,NA
160675,NA,NA
97822,NA,NA
131943,"JARBAS VASCONCELOS","http://www.camara.gov.br/internet/deputado/bandep/131943.jpg"
160672,"JEAN WYLLYS","http://www.camara.gov.br/internet/deputado/bandep/160672.jpg"
74273,"JEFFERSON CAMPOS","http://www.camara.gov.br/internet/deputado/bandep/74273.jpg"
160570,"JERÔNIMO GOERGEN","http://www.camara.gov.br/internet/deputado/bandep/160570.jpg"
178839,"JÉSSICA SALES","http://www.camara.gov.br/internet/deputado/bandep/178839.jpg"
160671,NA,NA
178842,"JHC","http://www.camara.gov.br/internet/deputado/bandep/178842.jpg"
160531,"JHONATAN DE JESUS","http://www.camara.gov.br/internet/deputado/bandep/160531.jpg"
141503,"JÔ MORAES","http://www.camara.gov.br/internet/deputado/bandep/141503.jpg"
160574,NA,NA
160573,"JOÃO ARRUDA","http://www.camara.gov.br/internet/deputado/bandep/160573.jpg"
141457,NA,NA
74559,NA,NA
74366,"JOÃO CAMPOS","http://www.camara.gov.br/internet/deputado/bandep/74366.jpg"
141458,"JOÃO CARLOS BACELAR","http://www.camara.gov.br/internet/deputado/bandep/141458.jpg"
74445,NA,NA
73682,NA,NA
178970,"JOÃO DANIEL","http://www.camara.gov.br/internet/deputado/bandep/178970.jpg"
178965,"JOÃO DERLY","http://www.camara.gov.br/internet/deputado/bandep/178965.jpg"
178917,"JOÃO FERNANDO COUTINHO","http://www.camara.gov.br/internet/deputado/bandep/178917.jpg"
178856,"JOÃO GUALBERTO","http://www.camara.gov.br/internet/deputado/bandep/178856.jpg"
74049,NA,NA
74120,NA,NA
141459,NA,NA
112437,"JOÃO MARCELO SOUZA","http://www.camara.gov.br/internet/deputado/bandep/112437.jpg"
178967,"JOÃO PAULO KLEINÜBING","http://www.camara.gov.br/internet/deputado/bandep/178967.jpg"
160549,NA,NA
178988,"JOÃO PAULO PAPA","http://www.camara.gov.br/internet/deputado/bandep/178988.jpg"
73874,NA,NA
160571,"JOÃO RODRIGUES","http://www.camara.gov.br/internet/deputado/bandep/160571.jpg"
178910,"JOAQUIM PASSARINHO","http://www.camara.gov.br/internet/deputado/bandep/178910.jpg"
178971,"JONY MARCOS","http://www.camara.gov.br/internet/deputado/bandep/178971.jpg"
74686,NA,NA
74388,"JORGE BOEIRA","http://www.camara.gov.br/internet/deputado/bandep/74388.jpg"
160572,"JORGE CÔRTE REAL","http://www.camara.gov.br/internet/deputado/bandep/160572.jpg"
178857,"JORGE SOLLA","http://www.camara.gov.br/internet/deputado/bandep/178857.jpg"
73535,"JORGE TADEU MUDALEN","http://www.camara.gov.br/internet/deputado/bandep/73535.jpg"
160509,"JORGINHO MELLO","http://www.camara.gov.br/internet/deputado/bandep/160509.jpg"
141464,"JOSÉ AIRTON CIRILO","http://www.camara.gov.br/internet/deputado/bandep/141464.jpg"
73536,NA,NA
160661,NA,NA
74553,"JOSÉ CARLOS ALELUIA","http://www.camara.gov.br/internet/deputado/bandep/74553.jpg"
74140,"JOSÉ CARLOS ARAÚJO","http://www.camara.gov.br/internet/deputado/bandep/74140.jpg"
74423,NA,NA
131966,"JOSÉ FOGAÇA","http://www.camara.gov.br/internet/deputado/bandep/131966.jpg"
141470,"JOSÉ GUIMARÃES","http://www.camara.gov.br/internet/deputado/bandep/141470.jpg"
160396,NA,NA
74297,NA,NA
74275,"JOSÉ MENTOR","http://www.camara.gov.br/internet/deputado/bandep/74275.jpg"
160619,"JOSÉ NUNES","http://www.camara.gov.br/internet/deputado/bandep/160619.jpg"
74395,"JOSÉ OTÁVIO GERMANO","http://www.camara.gov.br/internet/deputado/bandep/74395.jpg"
74079,"JOSÉ PRIANTE","http://www.camara.gov.br/internet/deputado/bandep/74079.jpg"
73714,"JOSÉ REINALDO","http://www.camara.gov.br/internet/deputado/bandep/73714.jpg"
74554,"JOSÉ ROCHA","http://www.camara.gov.br/internet/deputado/bandep/74554.jpg"
160607,"JOSE STÉDILE","http://www.camara.gov.br/internet/deputado/bandep/160607.jpg"
4929,NA,NA
114941,"JOSI NUNES","http://www.camara.gov.br/internet/deputado/bandep/114941.jpg"
74141,NA,NA
74351,"JOSUÉ BENGTSON","http://www.camara.gov.br/internet/deputado/bandep/74351.jpg"
73666,"JOVAIR ARANTES","http://www.camara.gov.br/internet/deputado/bandep/73666.jpg"
178851,"JOZI ARAÚJO","http://www.camara.gov.br/internet/deputado/bandep/178851.jpg"
67312,"JÚLIA MARINHO","http://www.camara.gov.br/internet/deputado/bandep/67312.jpg"
141474,NA,NA
160519,NA,NA
74317,"JÚLIO CESAR","http://www.camara.gov.br/internet/deputado/bandep/74317.jpg"
73586,"JÚLIO DELGADO","http://www.camara.gov.br/internet/deputado/bandep/73586.jpg"
74253,"JULIO LOPES","http://www.camara.gov.br/internet/deputado/bandep/74253.jpg"
160648,NA,NA
178885,"JUNIOR MARRECA","http://www.camara.gov.br/internet/deputado/bandep/178885.jpg"
160544,NA,NA
178886,"JUSCELINO FILHO","http://www.camara.gov.br/internet/deputado/bandep/178886.jpg"
